ROI,WorkingMemory_Score,Thr_0,Thr_0p001,Thr_0p01,Thr_0p1
7Networks_LH_Vis_1,0.0,0,0,0,0
7Networks_LH_Vis_2,0.0,0,0,0,0
7Networks_LH_Vis_3,0.0,0,0,0,0
7Networks_LH_Vis_4,0.0,0,0,0,0
7Networks_LH_Vis_5,0.004880318,1,1,0,0
7Networks_LH_Vis_6,0.0,0,0,0,0
7Networks_LH_Vis_7,0.0,0,0,0,0
7Networks_LH_Vis_8,0.016142946,1,1,1,0
7Networks_LH_Vis_9,0.0,0,0,0,0
7Networks_LH_SomMot_1,0.0,0,0,0,0
7Networks_LH_SomMot_2,0.0,0,0,0,0
7Networks_LH_SomMot_3,0.0,0,0,0,0
7Networks_LH_SomMot_4,0.010456603,1,1,1,0
7Networks_LH_SomMot_5,0.0,0,0,0,0
7Networks_LH_SomMot_6,0.0,0,0,0,0
7Networks_LH_DorsAttn_Post_1,0.0028530408,1,1,0,0
7Networks_LH_DorsAttn_Post_2,0.008533172,1,1,0,0
7Networks_LH_DorsAttn_Post_3,0.5694211,1,1,1,1
7Networks_LH_DorsAttn_Post_4,0.09368826,1,1,1,0
7Networks_LH_DorsAttn_Post_5,0.1204342,1,1,1,1
7Networks_LH_DorsAttn_Post_6,0.0,0,0,0,0
7Networks_LH_DorsAttn_PrCv_1,0.5734583,1,1,1,1
7Networks_LH_DorsAttn_FEF_1,0.29102263,1,1,1,1
7Networks_LH_SalVentAttn_ParOper_1,0.021633428,1,1,1,0
7Networks_LH_SalVentAttn_FrOperIns_1,0.0,0,0,0,0
7Networks_LH_SalVentAttn_FrOperIns_2,0.086383544,1,1,1,0
7Networks_LH_SalVentAttn_PFCl_1,0.10172802,1,1,1,1
7Networks_LH_SalVentAttn_Med_1,0.16197735,1,1,1,1
7Networks_LH_SalVentAttn_Med_2,0.0,0,0,0,0
7Networks_LH_SalVentAttn_Med_3,0.20167208,1,1,1,1
7Networks_LH_Limbic_OFC_1,0.0,0,0,0,0
7Networks_LH_Limbic_TempPole_1,0.0,0,0,0,0
7Networks_LH_Limbic_TempPole_2,0.0,0,0,0,0
7Networks_LH_Cont_Par_1,0.91491646,1,1,1,1
7Networks_LH_Cont_PFCl_1,0.53880745,1,1,1,1
7Networks_LH_Cont_pCun_1,0.019728782,1,1,1,0
7Networks_LH_Cont_Cing_1,0.0,0,0,0,0
7Networks_LH_Default_Temp_1,0.0,0,0,0,0
7Networks_LH_Default_Temp_2,0.0,0,0,0,0
7Networks_LH_Default_Par_1,0.0,0,0,0,0
7Networks_LH_Default_Par_2,0.02137333,1,1,1,0
7Networks_LH_Default_PFC_1,0.17522176,1,1,1,1
7Networks_LH_Default_PFC_2,0.018145332,1,1,1,0
7Networks_LH_Default_PFC_3,0.0,0,0,0,0
7Networks_LH_Default_PFC_4,0.06355605,1,1,1,0
7Networks_LH_Default_PFC_5,0.00096649234,1,0,0,0
7Networks_LH_Default_PFC_6,0.25336364,1,1,1,1
7Networks_LH_Default_PFC_7,0.12177263,1,1,1,1
7Networks_LH_Default_pCunPCC_1,0.0,0,0,0,0
7Networks_LH_Default_pCunPCC_2,0.0006763187,1,0,0,0
7Networks_RH_Vis_1,0.0,0,0,0,0
7Networks_RH_Vis_2,0.0,0,0,0,0
7Networks_RH_Vis_3,0.0,0,0,0,0
7Networks_RH_Vis_4,0.0,0,0,0,0
7Networks_RH_Vis_5,0.0,0,0,0,0
7Networks_RH_Vis_6,0.0,0,0,0,0
7Networks_RH_Vis_7,0.0009612999,1,0,0,0
7Networks_RH_Vis_8,0.0,0,0,0,0
7Networks_RH_SomMot_1,0.0,0,0,0,0
7Networks_RH_SomMot_2,0.0,0,0,0,0
7Networks_RH_SomMot_3,0.0,0,0,0,0
7Networks_RH_SomMot_4,0.0,0,0,0,0
7Networks_RH_SomMot_5,0.0,0,0,0,0
7Networks_RH_SomMot_6,0.00056523405,1,0,0,0
7Networks_RH_SomMot_7,0.0023465399,1,1,0,0
7Networks_RH_SomMot_8,0.0,0,0,0,0
7Networks_RH_DorsAttn_Post_1,0.0,0,0,0,0
7Networks_RH_DorsAttn_Post_2,0.043621905,1,1,1,0
7Networks_RH_DorsAttn_Post_3,0.787072,1,1,1,1
7Networks_RH_DorsAttn_Post_4,0.35320163,1,1,1,1
7Networks_RH_DorsAttn_Post_5,0.022597216,1,1,1,0
7Networks_RH_DorsAttn_PrCv_1,0.21187063,1,1,1,1
7Networks_RH_DorsAttn_FEF_1,0.35586065,1,1,1,1
7Networks_RH_SalVentAttn_TempOccPar_1,0.0,0,0,0,0
7Networks_RH_SalVentAttn_TempOccPar_2,0.0,0,0,0,0
7Networks_RH_SalVentAttn_FrOperIns_1,0.07768092,1,1,1,0
7Networks_RH_SalVentAttn_Med_1,0.0,0,0,0,0
7Networks_RH_SalVentAttn_Med_2,0.049769305,1,1,1,0
7Networks_RH_Limbic_OFC_1,0.0,0,0,0,0
7Networks_RH_Limbic_TempPole_1,0.0,0,0,0,0
7Networks_RH_Cont_Par_1,0.48385713,1,1,1,1
7Networks_RH_Cont_Par_2,0.30289385,1,1,1,1
7Networks_RH_Cont_PFCl_1,0.03249768,1,1,1,0
7Networks_RH_Cont_PFCl_2,0.54584426,1,1,1,1
7Networks_RH_Cont_PFCl_3,0.37418583,1,1,1,1
7Networks_RH_Cont_PFCl_4,0.3396026,1,1,1,1
7Networks_RH_Cont_Cing_1,0.0,0,0,0,0
7Networks_RH_Cont_PFCmp_1,0.15655658,1,1,1,1
7Networks_RH_Cont_pCun_1,0.29805315,1,1,1,1
7Networks_RH_Default_Par_1,0.0018702946,1,1,0,0
7Networks_RH_Default_Temp_1,0.0,0,0,0,0
7Networks_RH_Default_Temp_2,0.0,0,0,0,0
7Networks_RH_Default_Temp_3,0.0,0,0,0,0
7Networks_RH_Default_PFCv_1,0.1972045,1,1,1,1
7Networks_RH_Default_PFCv_2,0.00015369,1,0,0,0
7Networks_RH_Default_PFCdPFCm_1,0.0,0,0,0,0
7Networks_RH_Default_PFCdPFCm_2,0.0,0,0,0,0
7Networks_RH_Default_PFCdPFCm_3,0.24926268,1,1,1,1
7Networks_RH_Default_pCunPCC_1,0.0,0,0,0,0
7Networks_RH_Default_pCunPCC_2,0.0,0,0,0,0
