,A4B2,M1,VAChT,CB1,D1,D2,DAT,GABAa,NMDA,mGluR5,H3,NET,MOR,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT
A4B2,1.0,0.051630977895035325,0.4050910648007847,0.3341324611037228,0.11046690822541609,-0.04700129744533611,0.054241505572257,0.1461593193997661,0.09411595985026373,0.4166811627170892,0.5626698939461288,0.47256502705372205,0.5028997433145058,0.03735736384977217,0.4090453772682975,0.2495405325884827,0.0655477413083716,0.42684264882463363,-0.08159055157578031
M1,0.051630977895035325,1.0,-0.02134394189208904,0.4957307197929615,0.20279626164582326,0.41379446017000926,0.047167275824202264,0.14852477761259353,0.058656480685027323,0.5679772264966487,0.23185987252673676,0.10567717527891735,0.2705726585958364,0.2742964794760496,0.4440923664655536,0.5710956836106128,0.5580153764252131,0.5618377088420236,-0.016959977687596498
VAChT,0.4050910648007847,-0.02134394189208904,1.0,0.220173869843703,0.5017404076159829,0.36183851759257707,0.6500093100643041,0.25369831426640277,0.5102129981353876,0.5293549156368935,0.6018581280517621,0.47266596407277656,0.3855379957567586,0.3113898308066526,-0.01608086619079576,-0.08666693884998214,0.07757561976909622,0.34738627144427764,0.7108382480493941
CB1,0.3341324611037228,0.4957307197929615,0.220173869843703,1.0,0.2348272182350322,0.6341876557223656,0.1375429989029568,-0.21372879956829327,-0.11215792052315568,0.560542393078243,0.5462461166614795,-0.01856902012824324,0.7994173329636521,0.6796837910030391,0.11434535781003388,0.4111590063943669,0.6415888364628334,0.43502588456263597,0.013899618528875444
D1,0.11046690822541609,0.20279626164582326,0.5017404076159829,0.2348272182350322,1.0,0.46768173780300365,0.8229144116362108,0.4996546617576487,0.7591636206950693,0.6346806013861132,0.4219593521945094,-0.1971151778802799,0.4127201850312708,0.5610247302524596,0.0007999111435853128,0.2954594458367631,0.37926555005309875,0.45179399275030513,0.6067568212715861
D2,-0.04700129744533611,0.41379446017000926,0.36183851759257707,0.6341876557223656,0.46768173780300365,1.0,0.5652515016396311,-0.09981575298601507,0.3330695691892994,0.48277370482420734,0.2340613844708454,-0.14655811618151685,0.5108206138498993,0.8645208105437484,-0.2642579471032387,0.22111397507646263,0.6463738113864347,0.5349774196458668,0.4534682458465786
DAT,0.054241505572257,0.047167275824202264,0.6500093100643041,0.1375429989029568,0.8229144116362108,0.5652515016396311,1.0,0.43840233908507703,0.78275832267182,0.5086832196949348,0.3219809748794767,-0.03443055576732223,0.22089116992206922,0.5453996039855009,-0.11699962867973285,0.03934063567419466,0.21839694963758965,0.4189248723298834,0.8167643641304829
GABAa,0.1461593193997661,0.14852477761259353,0.25369831426640277,-0.21372879956829327,0.4996546617576487,-0.09981575298601507,0.43840233908507703,1.0,0.57357659125789,0.4358306927214547,0.1434246314186888,0.10690957842080773,-0.16272463163389655,-0.14871461099339245,0.4822796737814138,0.39875543121747387,0.0437446413943081,0.46798070815718584,0.31940311399854926
NMDA,0.09411595985026373,0.058656480685027323,0.5102129981353876,-0.11215792052315568,0.7591636206950693,0.3330695691892994,0.78275832267182,0.57357659125789,1.0,0.4565832806091501,0.2512297552051243,0.09154091291300477,0.04872479575820644,0.27297921051630736,-0.023801680408640846,0.05701934912639849,0.09811891335372468,0.5330605533536618,0.6185006842608293
mGluR5,0.4166811627170892,0.5679772264966487,0.5293549156368935,0.560542393078243,0.6346806013861132,0.48277370482420734,0.5086832196949348,0.4358306927214547,0.4565832806091501,1.0,0.5314033339878951,0.19591320365321221,0.6267902437201583,0.4940251690414879,0.2957955111263842,0.6158509248338128,0.7153061749832623,0.7071873500434386,0.30831835265386354
H3,0.5626698939461288,0.23185987252673676,0.6018581280517621,0.5462461166614795,0.4219593521945094,0.2340613844708454,0.3219809748794767,0.1434246314186888,0.2512297552051243,0.5314033339878951,1.0,0.2512105349622527,0.6641376839892235,0.3086991483497498,0.30578727817650786,0.17675911478288658,0.09981081676893705,0.44576152211644804,0.2755798812617969
NET,0.47256502705372205,0.10567717527891735,0.47266596407277656,-0.01856902012824324,-0.1971151778802799,-0.14655811618151685,-0.03443055576732223,0.10690957842080773,0.09154091291300477,0.19591320365321221,0.2512105349622527,1.0,-0.08233797792593993,-0.2868659607800803,0.26450408823077665,-0.19541872798960339,-0.19741203426313234,0.19866392775167285,-0.004961068767040937
MOR,0.5028997433145058,0.2705726585958364,0.3855379957567586,0.7994173329636521,0.4127201850312708,0.5108206138498993,0.22089116992206922,-0.16272463163389655,0.04872479575820644,0.6267902437201583,0.6641376839892235,-0.08233797792593993,1.0,0.6476756406833725,0.09622752439152882,0.4378666959779951,0.600587608420426,0.3743111116882193,0.07523030438248116
5HT1a,0.03735736384977217,0.2742964794760496,0.3113898308066526,0.6796837910030391,0.5610247302524596,0.8645208105437484,0.5453996039855009,-0.14871461099339245,0.27297921051630736,0.4940251690414879,0.3086991483497498,-0.2868659607800803,0.6476756406833725,1.0,-0.29272562647414446,0.2069619569208504,0.618694372955745,0.41426034248766225,0.3809230061168662
5HT1b,0.4090453772682975,0.4440923664655536,-0.01608086619079576,0.11434535781003388,0.0007999111435853128,-0.2642579471032387,-0.11699962867973285,0.4822796737814138,-0.023801680408640846,0.2957955111263842,0.30578727817650786,0.26450408823077665,0.09622752439152882,-0.29272562647414446,1.0,0.5129384632452676,-0.02992009870185851,0.32373260063790127,-0.18334496932141825
5HT2a,0.2495405325884827,0.5710956836106128,-0.08666693884998214,0.4111590063943669,0.2954594458367631,0.22111397507646263,0.03934063567419466,0.39875543121747387,0.05701934912639849,0.6158509248338128,0.17675911478288658,-0.19541872798960339,0.4378666959779951,0.2069619569208504,0.5129384632452676,1.0,0.7203729849879598,0.505220293622041,-0.1655768631644733
5HT4,0.0655477413083716,0.5580153764252131,0.07757561976909622,0.6415888364628334,0.37926555005309875,0.6463738113864347,0.21839694963758965,0.0437446413943081,0.09811891335372468,0.7153061749832623,0.09981081676893705,-0.19741203426313234,0.600587608420426,0.618694372955745,-0.02992009870185851,0.7203729849879598,1.0,0.4714210205685058,0.011954208379361798
5HT6,0.42684264882463363,0.5618377088420236,0.34738627144427764,0.43502588456263597,0.45179399275030513,0.5349774196458668,0.4189248723298834,0.46798070815718584,0.5330605533536618,0.7071873500434386,0.44576152211644804,0.19866392775167285,0.3743111116882193,0.41426034248766225,0.32373260063790127,0.505220293622041,0.4714210205685058,1.0,0.29005596564424335
5HTT,-0.08159055157578031,-0.016959977687596498,0.7108382480493941,0.013899618528875444,0.6067568212715861,0.4534682458465786,0.8167643641304829,0.31940311399854926,0.6185006842608293,0.30831835265386354,0.2755798812617969,-0.004961068767040937,0.07523030438248116,0.3809230061168662,-0.18334496932141825,-0.1655768631644733,0.011954208379361798,0.29005596564424335,1.0
